z,theta
136.8855,0.0982119739263
136.8905,0.0982119733729
136.8955,0.0982119728303
136.9005,0.0982119722982
136.9055,0.0982119717763
136.9105,0.0982119712646
136.9155,0.0982119707627
136.9205,0.0982119702705
136.9255,0.0982119697878
136.9305,0.0982119693144
136.9355,0.0982119688501
136.9405,0.0982119683948
136.9455,0.0982119679483
136.9505,0.0982119675103
136.9555,0.0982119670808
136.9605,0.0982119666595
136.9655,0.0982119662464
136.9705,0.0982119658411
136.9755,0.0982119654437
136.9805,0.0982119650538
136.9855,0.0982119646715
136.9905,0.0982119642964
136.9955,0.0982119639285
137.0005,0.0982119635677
137.0055,0.0982119632137
137.0105,0.0982119628665
137.0155,0.0982119625259
137.0205,0.0982119621918
137.0255,0.0982119618641
137.0305,0.0982119615426
137.0355,0.0982119612271
137.0405,0.0982119609177
137.0455,0.0982119606141
137.0505,0.0982119603162
137.0555,0.098211960024
137.0605,0.0982119597372
137.0655,0.0982119594559
137.0705,0.0982119591799
137.0755,0.098211958909
137.0805,0.0982119586432
137.0855,0.0982119583824
137.0905,0.0982119581264
137.0955,0.0982119578752
137.1005,0.0982119576287
137.1055,0.0982119573868
137.1105,0.0982119571493
137.1155,0.0982119569163
137.1205,0.0982119566875
137.1255,0.098211956463
137.1305,0.0982119562426
137.1355,0.0982119560262
137.1405,0.0982119558138
137.1455,0.0982119556052
137.1505,0.0982119554005
137.1555,0.0982119551995
137.1605,0.0982119550021
137.1655,0.0982119548083
137.1705,0.098211954618
137.1755,0.0982119544312
137.1805,0.0982119542476
137.1855,0.0982119540674
137.1905,0.0982119538904
137.1955,0.0982119537165
137.2005,0.0982119535457
137.2055,0.0982119533779
137.2105,0.0982119532131
137.2155,0.0982119530512
137.2205,0.0982119528922
137.2255,0.0982119527359
137.2305,0.0982119525823
137.2355,0.0982119524314
137.2405,0.0982119522831
137.2455,0.0982119521374
137.2505,0.0982119519942
137.2555,0.0982119518534
137.2605,0.0982119517151
137.2655,0.0982119515791
137.2705,0.0982119514454
137.2755,0.098211951314
137.2805,0.0982119511847
